HR,TMP=URG
0,0=100
0,0.5=100
0,1=100
0,1.5=100
0,2=100
0,2.5=100
0,3=100
0,3.5=100
0,4=100
0,4.5=100
0,5=100
0,5.5=100
0,6=100
0,6.5=100
0,7=100
0,7.5=100
0,8=100
0,8.5=100
0,9=100
0,9.5=100
0,10=100
0,10.5=100
0,11=100
0,11.5=100
0,12=100
0,12.5=100
0,13=100
0,13.5=100
0,14=100
0,14.5=100
0,15=100
0,15.5=100
0,16=100
0,16.5=100
0,17=100
0,17.5=100
0,18=100
0,18.5=100
0,19=100
0,19.5=100
0,20=100
0,20.5=100
0,21=100
0,21.5=100
0,22=100
0,22.5=100
0,23=100
0,23.5=100
0,24=100
0,24.5=100
0,25=100
0,25.5=100
0,26=100
0,26.5=100
0,27=100
0,27.5=100
0,28=100
0,28.5=100
0,29=100
0,29.5=100
0,30=100
0,30.5=100
0,31=100
0,31.5=100
0,32=100
0,32.5=100
0,33=100
0,33.5=100
0,34=100
0,34.5=100
0,35=100
0,35.5=100
0,36=100
0,36.5=100
0,37=100
0,37.5=100
0,38=100
0,38.5=100
0,39=100
0,39.5=100
0,40=100
0,40.5=100
0,41=100
0,41.5=100
0,42=100
0,42.5=100
0,43=100
0,43.5=100
0,44=100
0,44.5=100
0,45=100
0,45.5=100
0,46=100
0,46.5=100
0,47=100
0,47.5=100
0,48=100
0,48.5=100
0,49=100
0,49.5=100
0,50=100
1,0=100
1,0.5=100
1,1=100
1,1.5=100
1,2=100
1,2.5=100
1,3=100
1,3.5=100
1,4=100
1,4.5=100
1,5=100
1,5.5=100
1,6=100
1,6.5=100
1,7=100
1,7.5=100
1,8=100
1,8.5=100
1,9=100
1,9.5=100
1,10=100
1,10.5=100
1,11=100
1,11.5=100
1,12=100
1,12.5=100
1,13=100
1,13.5=100
1,14=100
1,14.5=100
1,15=100
1,15.5=100
1,16=100
1,16.5=100
1,17=100
1,17.5=100
1,18=100
1,18.5=100
1,19=100
1,19.5=100
1,20=100
1,20.5=100
1,21=100
1,21.5=100
1,22=100
1,22.5=100
1,23=100
1,23.5=100
1,24=100
1,24.5=100
1,25=100
1,25.5=100
1,26=100
1,26.5=100
1,27=100
1,27.5=100
1,28=100
1,28.5=100
1,29=100
1,29.5=100
1,30=100
1,30.5=100
1,31=100
1,31.5=100
1,32=100
1,32.5=100
1,33=100
1,33.5=100
1,34=100
1,34.5=100
1,35=100
1,35.5=100
1,36=100
1,36.5=100
1,37=100
1,37.5=100
1,38=100
1,38.5=100
1,39=100
1,39.5=100
1,40=100
1,40.5=100
1,41=100
1,41.5=100
1,42=100
1,42.5=100
1,43=100
1,43.5=100
1,44=100
1,44.5=100
1,45=100
1,45.5=100
1,46=100
1,46.5=100
1,47=100
1,47.5=100
1,48=100
1,48.5=100
1,49=100
1,49.5=100
1,50=100
2,0=100
2,0.5=100
2,1=100
2,1.5=100
2,2=100
2,2.5=100
2,3=100
2,3.5=100
2,4=100
2,4.5=100
2,5=100
2,5.5=100
2,6=100
2,6.5=100
2,7=100
2,7.5=100
2,8=100
2,8.5=100
2,9=100
2,9.5=100
2,10=100
2,10.5=100
2,11=100
2,11.5=100
2,12=100
2,12.5=100
2,13=100
2,13.5=100
2,14=100
2,14.5=100
2,15=100
2,15.5=100
2,16=100
2,16.5=100
2,17=100
2,17.5=100
2,18=100
2,18.5=100
2,19=100
2,19.5=100
2,20=100
2,20.5=100
2,21=100
2,21.5=100
2,22=100
2,22.5=100
2,23=100
2,23.5=100
2,24=100
2,24.5=100
2,25=100
2,25.5=100
2,26=100
2,26.5=100
2,27=100
2,27.5=100
2,28=100
2,28.5=100
2,29=100
2,29.5=100
2,30=100
2,30.5=100
2,31=100
2,31.5=100
2,32=100
2,32.5=100
2,33=100
2,33.5=100
2,34=100
2,34.5=100
2,35=100
2,35.5=100
2,36=100
2,36.5=100
2,37=100
2,37.5=100
2,38=100
2,38.5=100
2,39=100
2,39.5=100
2,40=100
2,40.5=100
2,41=100
2,41.5=100
2,42=100
2,42.5=100
2,43=100
2,43.5=100
2,44=100
2,44.5=100
2,45=100
2,45.5=100
2,46=100
2,46.5=100
2,47=100
2,47.5=100
2,48=100
2,48.5=100
2,49=100
2,49.5=100
2,50=100
3,0=100
3,0.5=100
3,1=100
3,1.5=100
3,2=100
3,2.5=100
3,3=100
3,3.5=100
3,4=100
3,4.5=100
3,5=100
3,5.5=100
3,6=100
3,6.5=100
3,7=100
3,7.5=100
3,8=100
3,8.5=100
3,9=100
3,9.5=100
3,10=100
3,10.5=100
3,11=100
3,11.5=100
3,12=100
3,12.5=100
3,13=100
3,13.5=100
3,14=100
3,14.5=100
3,15=100
3,15.5=100
3,16=100
3,16.5=100
3,17=100
3,17.5=100
3,18=100
3,18.5=100
3,19=100
3,19.5=100
3,20=100
3,20.5=100
3,21=100
3,21.5=100
3,22=100
3,22.5=100
3,23=100
3,23.5=100
3,24=100
3,24.5=100
3,25=100
3,25.5=100
3,26=100
3,26.5=100
3,27=100
3,27.5=100
3,28=100
3,28.5=100
3,29=100
3,29.5=100
3,30=100
3,30.5=100
3,31=100
3,31.5=100
3,32=100
3,32.5=100
3,33=100
3,33.5=100
3,34=100
3,34.5=100
3,35=100
3,35.5=100
3,36=100
3,36.5=100
3,37=100
3,37.5=100
3,38=100
3,38.5=100
3,39=100
3,39.5=100
3,40=100
3,40.5=100
3,41=100
3,41.5=100
3,42=100
3,42.5=100
3,43=100
3,43.5=100
3,44=100
3,44.5=100
3,45=100
3,45.5=100
3,46=100
3,46.5=100
3,47=100
3,47.5=100
3,48=100
3,48.5=100
3,49=100
3,49.5=100
3,50=100
